relative_path,source_seconds,separator_start,separator_end,output_seconds_target,source_bytes,output_bytes,status
p/primarily.mp3,3.110000,0.925941,2.102902,1.025941,12660,4510,silence_separator
p/primary.mp3,2.850000,0.781542,1.949932,0.881542,11616,3884,silence_separator
p/prime.mp3,2.350000,0.550340,1.679819,0.650340,9631,2943,silence_separator
p/primitive.mp3,2.800000,0.796644,1.905941,0.896644,11406,3988,silence_separator
p/prince.mp3,2.560000,0.665442,1.805079,0.765442,10466,3465,silence_separator
p/princess.mp3,2.980000,0.867120,2.007664,0.967120,12138,4197,silence_separator
p/principal.mp3,2.800000,0.761633,1.930431,0.861633,11407,3779,silence_separator
p/principle.mp3,2.800000,0.761633,1.930431,0.861633,11407,3779,silence_separator
p/print.mp3,2.350000,0.565760,1.687891,0.665760,9630,3047,silence_separator
p/prior.mp3,2.460000,0.591338,1.755465,0.691338,10048,3152,silence_separator
